Price,Close,High,Low,Open,High-Low,Open-Close,Volume,SMA_2,SMA_5,EMA_5,EMA_8,RSI_7,ATR_10,ADX_10,CCI_10,MACD,MACD_signal,MACD_hist,STOCH_slowk,STOCH_slowd,BB_upper,BB_middle,BB_lower
Ticker,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK,,,^NSEBANK,,,,,,,,,,,,,,,,
Datetime,,,,,,,,,,,,,,,,,,,,,,,
2025-03-26 11:45:00+05:30,51539.30078,51556.25,51530.75,51550.64844,25.5,11.34765625,0,51544.02539,51568.12109,51560.29328,51575.64453,29.56853032,61.8060069,23.93499494,-149.730148,-34.04787583,-33.74601827,-0.301857563,22.55040227,32.7331958,51715.91547,51605.60407,51495.29268
2025-03-26 11:50:00+05:30,51561.25,51567.44922,51512.55078,51537.69922,54.8984375,-23.55078125,0,51550.27539,51557.85078,51560.61219,51572.44574,38.71905744,61.11524996,25.30470376,-93.99612567,-29.76515159,-32.1536716,2.38852001,35.14429253,29.06107332,51686.42938,51594.27902,51502.12866
2025-03-26 11:55:00+05:30,51455.39844,51563.60156,51455.39844,51559.05078,108.203125,103.6523438,0,51508.32422,51532.41016,51525.54094,51546.43523,22.36831173,65.82403747,27.81982756,-184.891526,-41.04982316,-35.71213222,-5.337690936,24.23497615,27.30989032,51674.66215,51576.79688,51478.9316
2025-03-26 12:00:00+05:30,51434.89844,51477.55078,51423.69922,51457,53.8515625,22.1015625,0,51445.14844,51507.91953,51495.32677,51521.64928,20.41994488,64.62678997,30.64063348,-195.5051944,-49.21187419,-41.11202901,-8.099845183,18.64962732,26.009632,51666.20116,51559.60742,51453.01368
2025-03-26 12:05:00+05:30,51461.60156,51466.5,51428.10156,51434.94922,38.3984375,-26.65234375,0,51448.25,51490.48984,51484.08503,51508.30534,29.72262473,62.00395472,33.1793588,-127.953187,-48.38566823,-44.0214847,-4.364183531,11.38586957,18.09015768,51654.03773,51546.73605,51439.43437
2025-03-26 12:10:00+05:30,51477.14844,51485.35156,51435.5,51460,49.8515625,-17.1484375,0,51469.375,51478.05938,51481.77284,51501.38158,34.89230812,60.7887155,34.27413546,-80.21384922,-43.68392046,-43.886459,0.202538539,23.7798913,17.93846273,51652.24157,51540.12165,51428.00173
2025-03-26 12:15:00+05:30,51433.75,51476.60156,51429.80078,51473.89844,46.80078125,40.1484375,0,51455.44922,51452.55938,51465.76522,51486.35234,28.14879762,59.44460958,35.39901088,-85.30580618,-45.22205901,-44.42069901,-0.801360003,23.57768459,19.58114849,51649.32103,51528.81445,51408.30787
2025-03-26 12:20:00+05:30,51449.44922,51477.55078,51409.35156,51432.85156,68.19921875,-16.59765625,0,51441.59961,51451.36953,51460.32656,51478.15165,33.56741203,60.32007049,36.90481326,-74.22785428,-42.07523262,-43.48251245,1.40727983,32.37542665,26.57766751,51639.37819,51518.41071,51397.44324
2025-03-26 12:25:00+05:30,51435.10156,51471.94922,51423,51450.85156,48.94921875,15.75,0,51442.27539,51451.41016,51451.91822,51468.58496,31.069175,59.18298532,38.2600354,-66.78649344,-40.48091297,-42.28187266,1.800959691,31.27526456,29.07612527,51633.32745,51508.81445,51384.30145
2025-03-26 12:30:00+05:30,51469.75,51477.69922,51419,51435.10156,58.69921875,-34.6484375,0,51452.42578,51453.03984,51457.86215,51468.84386,43.01749396,59.13460866,39.02109543,-37.5284483,-32.90273995,-38.53021957,5.627479628,55.37109375,39.67392832,51621.75053,51501.35379,51380.95706
2025-03-26 12:35:00+05:30,51454.25,51486.64844,51444.64844,51469.75,42,15.5,0,51462,51448.46016,51456.6581,51465.60078,39.44870463,57.4211478,38.97559831,-11.21263042,-29.13435891,-34.77187531,5.637516396,57.14630525,47.93088785,51595.31191,51490.04297,51384.77403
2025-03-26 12:40:00+05:30,51465.64844,51473,51423.14844,51456.64844,49.8515625,-9,0,51459.94922,51454.83984,51459.65488,51465.61137,43.472155,56.66418927,39.65901242,-14.68107009,-24.00968113,-30.46699764,6.457316506,70.1297854,60.8823948,51574.01843,51481.68917,51389.35992
2025-03-26 12:45:00+05:30,51498.39844,51503.5,51446.5,51469.5,57,-28.8984375,0,51482.02344,51464.62969,51472.5694,51472.89739,53.76933146,56.69777034,37.98889411,204.045329,-15.21356489,-24.36562454,9.152059647,74.96012528,67.41207198,51560.53171,51477.47824,51394.42477
2025-03-26 12:50:00+05:30,51476.5,51504.14844,51474.5,51499,29.6484375,22.5,0,51487.44922,51472.90938,51473.8796,51473.69797,47.07921669,53.99283706,36.4404339,146.5957926,-12.33557399,-19.55360432,7.218030332,78.10793282,74.39928117,51545.3948,51472.31752,51399.24025
2025-03-26 12:55:00+05:30,51453.94922,51485.75,51433.94922,51477.85156,51.80078125,23.90234375,0,51465.22461,51469.74922,51467.23614,51469.30936,40.9568329,53.77363148,36.62781432,-11.6571522,-13.2915861,-17.04879703,3.757210931,66.50581164,73.19128991,51529.51462,51466.22098,51402.92734
2025-03-26 13:00:00+05:30,51362.64844,51462,51362.64844,51455.39844,99.3515625,92.75,0,51408.29883,51451.42891,51432.37357,51445.60693,25.37192072,58.33142458,38.55440388,-237.6763161,-26.37735467,-20.78022009,-5.597134583,35.18492899,59.93289115,51512.74695,51452.03516,51391.32336
2025-03-26 13:05:00+05:30,51253.64844,51365.39844,51249.44922,51358.80078,115.9492188,105.1523438,0,51308.14844,51409.02891,51372.79853,51402.94949,16.58294258,64.09320399,41.76386953,-260.4023099,-48.88385156,-32.02167268,-16.86217889,13.22478434,38.30517499,51556.35504,51437.62444,51318.89384
2025-03-26 13:10:00+05:30,51280.14844,51300.75,51223.94922,51250.55078,76.80078125,-29.59765625,0,51266.89844,51365.37891,51341.91516,51375.66036,24.04576642,65.36396172,44.87916741,-165.349428,-56.88236592,-41.96594998,-14.91641595,7.235192106,18.54830181,51570.41609,51426.57087,51282.72565
2025-03-26 13:15:00+05:30,51201.55078,51277,51163.55078,51275.25,113.4492188,73.69921875,0,51240.84961,51310.38906,51295.12704,51336.96935,18.36157428,70.48733117,48.14058626,-145.3865934,-70.68592292,-53.45393915,-17.23198377,11.16650725,10.54216123,51590.8279,51407.99581,51225.16373
2025-03-26 13:20:00+05:30,51242.75,51280.75,51197.10156,51202.55078,83.6484375,-40.19921875,0,51222.15039,51268.14922,51277.66802,51316.03171,28.67282452,71.80344181,50.87133808,-92.08415742,-70.36633787,-60.21889864,-10.14743923,19.46258023,12.62142653,51588.08231,51391.25307,51194.42383
2025-03-26 13:25:00+05:30,51229.94922,51270.5,51222.30078,51241.19922,48.19921875,11.25,0,51236.34961,51241.60938,51261.76176,51296.90227,27.41754745,69.4430195,53.32901471,-72.97135537,-69.12726117,-63.78224365,-5.345017518,23.74206134,18.12371627,51588.38452,51376.69587,51165.00722
2025-03-26 13:30:00+05:30,51197.89844,51254.30078,51196.10156,51227.35156,58.19921875,29.453125,0,51213.92383,51230.45938,51240.47398,51274.90142,24.30882457,68.31863943,55.76288151,-74.5141463,-70.12580495,-66.31966817,-3.806136781,28.15570534,23.7867823,51584.87451,51358.72796,51132.5814
2025-03-26 13:35:00+05:30,51185.80078,51223.89844,51169.05078,51196.85156,54.84765625,11.05078125,0,51191.84961,51211.58984,51222.24958,51255.10128,23.15280184,66.97154111,58.16321305,-81.44973334,-69.60311714,-67.63304776,-1.970069383,25.63832271,25.84536313,51579.14602,51340.92076,51102.6955
2025-03-26 13:40:00+05:30,51165.94922,51197.44922,51155.25,51192.10156,42.19921875,26.15234375,0,51175.875,51204.46953,51203.48279,51235.28971,21.22081275,64.49430887,60.42584038,-95.03305661,-69.27809814,-68.29106791,-0.987030229,17.51497317,23.76966708,51561.85801,51319.2207,51076.58339
2025-03-26 13:45:00+05:30,51134.14844,51202,51133.64844,51165.14844,68.3515625,31,0,51150.04883,51182.74922,51180.37134,51212.81387,18.35786644,64.88003423,62.61751089,-113.5522865,-70.79439819,-69.29240003,-1.501998167,9.291800486,17.48169879,51544.06289,51296.35631,51048.64972
2025-03-26 13:50:00+05:30,51194.75,51212.69922,51126.5,51134.60156,86.19921875,-60.1484375,0,51164.44922,51175.70938,51185.16423,51208.79968,37.19578132,67.01195269,63.81330831,-75.88323315,-60.17581182,-65.64576474,5.469952925,20.76468756,15.85715374,51510.71997,51277.00642,51043.29286
2025-03-26 13:55:00+05:30,51191.35156,51221.85156,51158.80078,51196.5,63.05078125,5.1484375,0,51193.05078,51174.4,51187.22667,51204.92232,36.6426257,66.61583554,64.21023886,-37.87695511,-51.70397197,-60.06904763,8.365075662,40.11752332,23.39133712,51457.04005,51255.0745,51053.10895
2025-03-26 14:00:00+05:30,51223.25,51228.5,51168.44922,51192.44922,60.05078125,-30.80078125,0,51207.30078,51181.88984,51199.23445,51208.99514,45.51548584,65.95933011,64.05658081,17.12587356,-39.8498454,-51.98136674,12.13152134,71.61338392,44.16519827,51397.49131,51236.98521,51076.47911
2025-03-26 14:05:00+05:30,51212.85156,51253.60156,51205.25,51226.64844,48.3515625,13.796875,0,51218.05078,51191.27031,51203.77349,51209.85212,43.21385866,64.19855335,62.07568286,61.96718427,-32.45118366,-44.16929351,11.71810985,76.4585825,62.72982991,51326.0315,51219.76395,51113.4964
2025-03-26 14:10:00+05:30,51184,51224.14844,51177.55078,51214.64844,46.59765625,30.6484375,0,51198.42578,51201.24063,51197.18232,51204.1072,37.13517779,62.43846364,60.97274342,-7.342099068,-30.71850444,-38.78897788,8.070473444,69.3437929,72.47191977,51278.93227,51207.00335,51135.07442
2025-03-26 14:15:00+05:30,51154.85156,51222.60156,51150.19922,51185.89844,72.40234375,31.046875,0,51169.42578,51193.26094,51183.07207,51193.16151,31.85387258,63.43485165,60.55777541,-62.18790302,-32.56792641,-36.30055729,3.73263088,39.22590029,61.6760919,51271.57052,51199.94643,51128.32233
2025-03-26 14:20:00+05:30,51208.5,51217.19922,51144.89844,51154.10156,72.30078125,-54.3984375,0,51181.67578,51196.69063,51191.54805,51196.57006,47.79605207,64.32144461,60.29130057,9.063185052,-24.70685996,-31.66307836,6.956218398,36.0826969,48.21746336,51251.47082,51194.82868,51138.18655
2025-03-26 14:25:00+05:30,51225.35156,51239.14844,51187.80078,51206.39844,51.34765625,-18.953125,0,51216.92578,51197.11094,51202.81589,51202.96595,51.91814357,63.02406578,58.43552792,110.7675027,-16.4781528,-25.58910814,9.110955336,45.67348834,40.32736184,51255.26582,51196.52874,51137.79165
2025-03-26 14:30:00+05:30,51184.39844,51226.19922,51173.89844,51225.80078,52.30078125,41.40234375,0,51204.875,51191.42031,51196.67674,51198.83984,42.42107433,61.95173732,57.15680675,8.562322234,-16.61803759,-22.00067992,5.382642329,58.143672,46.63328575,51245.39092,51192.36077,51139.33062
2025-03-26 14:35:00+05:30,51212.35156,51224,51168.75,51184.39844,55.25,-27.953125,0,51198.375,51197.09063,51201.90168,51201.84244,49.74199652,61.28156359,56.15217514,23.59953774,-12.03209052,-18.01324416,5.981153641,62.49663447,55.4379316,51241.26727,51191.10379,51140.94032
2025-03-26 14:40:00+05:30,51179.35156,51228.44922,51169.35156,51212.55078,59.09765625,33.19921875,0,51195.85156,51201.99063,51194.38497,51196.84447,42.32933685,61.06317286,54.87756525,-40.06812334,-13.4475478,-16.18696561,2.739417816,50.01105217,56.88378621,51240.13401,51189.77902,51139.42403
2025-03-26 14:45:00+05:30,51207.25,51222.60156,51172.69922,51175.64844,49.90234375,-31.6015625,0,51193.30078,51201.74063,51198.67332,51199.15681,49.7196356,59.94708995,53.73041634,6.106987067,-9.779783723,-13.62409286,3.844309135,54.27068532,55.59279065,51242.38873,51191.3111,51140.23348
2025-03-26 14:50:00+05:30,51139.55078,51209,51136.14844,51208.14844,72.8515625,68.59765625,0,51173.40039,51184.58047,51178.9658,51185.91103,36.48365871,61.2375372,53.84929948,-181.0409699,-16.806356,-14.89699811,-1.909357885,31.64330065,45.30834605,51245.78497,51189.4255,51133.06604
